id_aluno,nome,turma,alergias,contato_pais
1,Rafael Souza,Infantil 3,Glúten,11999900001
2,Beatriz Santos,Infantil 3,Nenhuma,11999900002
3,Carlos Souza,Infantil 2,Amendoim,11999900003
4,Carlos Correia,Infantil 2,Nenhuma,11999900004
5,Carlos Teixeira,Infantil 2,Lactose,11999900005
6,Bruno Correia,Infantil 1,Nenhuma,11999900006
7,Beatriz Ribeiro,Infantil 1,Amendoim,11999900007
8,Carlos Rodrigues,Infantil 3,Amendoim,11999900008
9,Beatriz Carvalho,Infantil 3,Glúten,11999900009
10,Beatriz Castro,Infantil 2,Glúten,11999900010
11,Beatriz Cardoso,Infantil 3,Nenhuma,11999900011
12,Beatriz Souza,Infantil 3,Glúten,11999900012
13,Bruno Mendes,Infantil 3,Glúten,11999900013
14,Ana Almeida,Infantil 2,Amendoim,11999900014
15,Daniela Carvalho,Infantil 3,Lactose,11999900015
16,Bruno Ribeiro,Infantil 2,Lactose,11999900016
17,Ana Teixeira,Infantil 1,Lactose,11999900017
18,Carlos Santos,Infantil 3,Nenhuma,11999900018
19,Ana Monteiro,Infantil 2,Glúten,11999900019
20,Bruno Lima,Infantil 2,Amendoim,11999900020
21,Ana Silva,Infantil 2,Amendoim,11999900021
22,Carlos Mendes,Infantil 2,Nenhuma,11999900022
23,Carlos Silva,Infantil 3,Lactose,11999900023
24,Bruno Cardoso,Infantil 2,Amendoim,11999900024
25,Carlos Nascimento,Infantil 3,Glúten,11999900025
26,Carlos Reis,Infantil 1,Amendoim,11999900026
27,Daniela Almeida,Infantil 1,Amendoim,11999900027
28,Ana Barbosa,Infantil 2,Lactose,11999900028
29,Beatriz Moreira,Infantil 3,Nenhuma,11999900029
30,Carlos Ramos,Infantil 3,Lactose,11999900030
31,Bruno Pereira,Infantil 1,Glúten,11999900031
32,Beatriz Reis,Infantil 1,Nenhuma,11999900032
33,Beatriz Vieira,Infantil 3,Lactose,11999900033
34,Beatriz Costa,Infantil 2,Nenhuma,11999900034
35,Daniela Dias,Infantil 2,Nenhuma,11999900035
36,Daniela Alves,Infantil 1,Amendoim,11999900036
37,Carlos Costa,Infantil 1,Nenhuma,11999900037
38,Carlos Martins,Infantil 2,Nenhuma,11999900038
39,Bruno Monteiro,Infantil 2,Nenhuma,11999900039
40,Carlos Gomes,Infantil 2,Lactose,11999900040
41,Beatriz Teixeira,Infantil 3,Lactose,11999900041
42,Bruno Freitas,Infantil 1,Lactose,11999900042
43,Bruno Vieira,Infantil 2,Lactose,11999900043
44,Bruno Oliveira,Infantil 2,Glúten,11999900044
45,Ana Martins,Infantil 3,Glúten,11999900045
46,Carlos Araújo,Infantil 1,Nenhuma,11999900046
47,Bruno Moura,Infantil 3,Nenhuma,11999900047
48,Beatriz Lima,Infantil 1,Lactose,11999900048
49,Daniela Cruz,Infantil 3,Lactose,11999900049
50,Bruno Silva,Infantil 3,Nenhuma,11999900050
51,Beatriz Silva,Infantil 2,Amendoim,11999900051
52,Carlos Moura,Infantil 3,Glúten,11999900052
53,Bruno Rodrigues,Infantil 1,Nenhuma,11999900053
54,Bruno Costa,Infantil 1,Nenhuma,11999900054
55,Beatriz Araújo,Infantil 3,Amendoim,11999900055
56,Carlos Freitas,Infantil 2,Amendoim,11999900056
57,Ana Cardoso,Infantil 1,Amendoim,11999900057
58,Ana Mendes,Infantil 1,Nenhuma,11999900058
59,Ana Ramos,Infantil 3,Glúten,11999900059
60,Bruno Alves,Infantil 2,Lactose,11999900060
61,Beatriz Mendes,Infantil 1,Glúten,11999900061
62,Ana Araújo,Infantil 1,Lactose,11999900062
63,Beatriz Monteiro,Infantil 2,Lactose,11999900063
64,Ana Gomes,Infantil 2,Lactose,11999900064
65,Daniela Araújo,Infantil 2,Lactose,11999900065
66,Beatriz Correia,Infantil 3,Glúten,11999900066
67,Daniela Freitas,Infantil 2,Glúten,11999900067
68,Bruno Castro,Infantil 2,Glúten,11999900068
69,Bruno Gomes,Infantil 2,Lactose,11999900069
70,Carlos Vieira,Infantil 3,Amendoim,11999900070
71,Bruno Dias,Infantil 1,Nenhuma,11999900071
72,Ana Souza,Infantil 2,Amendoim,11999900072
73,Carlos Almeida,Infantil 2,Amendoim,11999900073
74,Ana Nascimento,Infantil 1,Amendoim,11999900074
75,Ana Cruz,Infantil 2,Amendoim,11999900075
76,Beatriz Almeida,Infantil 1,Nenhuma,11999900076
77,Daniela Correia,Infantil 1,Nenhuma,11999900077
78,Carlos Cruz,Infantil 2,Nenhuma,11999900078
79,Beatriz Freitas,Infantil 2,Amendoim,11999900079
80,Carlos Nogueira,Infantil 1,Glúten,11999900080
81,Bruno Reis,Infantil 2,Lactose,11999900081
82,Carlos Cardoso,Infantil 3,Lactose,11999900082
83,Carlos Monteiro,Infantil 3,Amendoim,11999900083
84,Bruno Teixeira,Infantil 3,Glúten,11999900084
85,Carlos Dias,Infantil 2,Nenhuma,11999900085
86,Bruno Moreira,Infantil 2,Glúten,11999900086
87,Bruno Souza,Infantil 1,Nenhuma,11999900087
88,Carlos Lima,Infantil 1,Glúten,11999900088
89,Ana Santos,Infantil 1,Glúten,11999900089
90,Bruno Martins,Infantil 3,Lactose,11999900090
91,Carlos Barbosa,Infantil 1,Nenhuma,11999900091
92,Daniela Castro,Infantil 3,Lactose,11999900092
93,Bruno Nogueira,Infantil 3,Amendoim,11999900093
94,Ana Pereira,Infantil 3,Lactose,11999900094
95,Bruno Carvalho,Infantil 1,Glúten,11999900095
96,Beatriz Fernandes,Infantil 2,Amendoim,11999900096
97,Bruno Duarte,Infantil 1,Amendoim,11999900097
98,Bruno Fernandes,Infantil 1,Glúten,11999900098
99,Beatriz Barbosa,Infantil 2,Nenhuma,11999900099
100,Daniela Duarte,Infantil 2,Amendoim,11999900100
101,Ana Dias,Infantil 3,Glúten,11999900101
102,Carlos Duarte,Infantil 1,Glúten,11999900102
103,Ana Lima,Infantil 2,Lactose,11999900103
104,Bruno Almeida,Infantil 2,Glúten,11999900104
105,Beatriz Pereira,Infantil 3,Nenhuma,11999900105
106,Bruno Ramos,Infantil 2,Nenhuma,11999900106
107,Ana Carvalho,Infantil 2,Glúten,11999900107
108,Carlos Oliveira,Infantil 1,Glúten,11999900108
109,Ana Vieira,Infantil 1,Amendoim,11999900109
110,Bruno Cruz,Infantil 2,Glúten,11999900110
111,Beatriz Dias,Infantil 1,Nenhuma,11999900111
112,Daniela Cardoso,Infantil 1,Nenhuma,11999900112
113,Beatriz Duarte,Infantil 2,Amendoim,11999900113
114,Ana Fernandes,Infantil 2,Glúten,11999900114
115,Beatriz Gomes,Infantil 3,Nenhuma,11999900115
116,Ana Duarte,Infantil 1,Glúten,11999900116
117,Ana Freitas,Infantil 2,Glúten,11999900117
118,Carlos Moreira,Infantil 1,Nenhuma,11999900118
119,Carlos Pereira,Infantil 3,Amendoim,11999900119
120,Ana Ribeiro,Infantil 1,Nenhuma,11999900120
